day,regimen,ffi,legacy,train_seconds,n_today,buffer_size
1,hybrid,0.013298,0.014,185.0,248,248
2,hybrid,0.00813,0.018,335.4,228,476
3,hybrid,0.002646,0.002,367.9,249,725
4,hybrid,0.005376,0.02,367.3,245,970
5,hybrid,0.002646,0.008,385.2,239,1209
6,hybrid,0.002825,0.004,371.4,254,1463
7,hybrid,0.018182,0.014,402.6,271,1734
8,hybrid,0.0,0.004,361.7,245,1979
9,hybrid,0.013699,0.014,359.9,251,2000
10,hybrid,0.00542,0.018,378.9,258,2000
11,hybrid,0.012987,0.014,380.3,259,2000
12,hybrid,0.00266,0.0,380.4,255,2000
13,hybrid,0.016216,0.028,369.6,253,2000
14,hybrid,0.010959,0.026,389.2,250,2000
15,hybrid,0.005319,0.004,358.1,247,2000
16,hybrid,0.013812,0.026,344.6,238,2000
17,hybrid,0.032345,0.026,354.1,245,2000
18,hybrid,0.0,0.01,388.1,241,2000
19,hybrid,0.046575,0.028,369.8,253,2000
20,hybrid,0.008451,0.01,366.2,252,2000
21,hybrid,0.0,0.002,376.0,249,2000
22,hybrid,0.002674,0.01,384.4,264,2000
23,hybrid,0.038781,0.014,340.8,236,2000
24,hybrid,0.014164,0.024,330.8,232,2000
25,hybrid,0.008174,0.008,359.6,245,2000
26,hybrid,0.029412,0.02,341.3,238,2000
27,hybrid,0.027855,0.032,356.2,241,2000
28,hybrid,0.007916,0.024,383.0,263,2000
29,hybrid,0.02381,0.014,371.6,253,2000
30,hybrid,0.016393,0.024,369.8,253,2000
